,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,World,"507,854,253","+196,993","6,236,480",+471,"460,229,752","+316,099","41,388,021","41,825","65,153",800.1,
1,1,USA,"82,553,058",,"1,017,609 ",,"80,355,389",,"1,180,060","1,492","246,798","3,042"
2,2,India,"43,052,425",,"522,116 ",,"42,516,068",,"14,241",698,"30,655",372
3,3,Brazil,"30,330,629",,"662,556 ",,"29,353,398",,"314,675","8,318","140,890","3,078"
4,4,France,"28,076,017",,"144,799 ",,"25,618,673",,"2,312,545","1,677","428,423","2,210"
5,5,Germany,"23,915,437",,"134,284 ",,"21,058,000","+204,900","2,723,153","1,980","283,809","1,594"
6,6,UK,"21,909,509",,"173,032 ",,"20,652,937",,"1,083,540",349,"319,717","2,525"
7,7,Russia,"18,110,861",,"374,368 ",,"17,437,610",,"298,883","2,300","124,007","2,563"
8,8,S. Korea,"16,755,055","+81,010","21,873 ",+206,N/A,N/A,N/A,833,"326,300",426
9,9,Italy,"15,934,437",,"162,264 ",,"14,549,360",,"1,222,813",415,"264,245","2,691"
10,10,Turkey,"15,010,718",,"98,645 ",,"14,817,258",,"94,815",975,"174,600","1,147"
11,11,Spain,"11,736,893",,"103,721 ",,"11,220,981",,"412,191",345,"250,856","2,217"
12,12,Vietnam,"10,533,164",,"42,991 ",,"9,076,927",,"1,413,246",826,"106,487",435
13,13,Argentina,"9,060,923",,"128,344 ",,"8,895,999",,"36,580",412,"197,225","2,794"
14,14,Netherlands,"8,032,986",,"22,197 ",,"7,561,655",,"449,134",96,"466,950","1,290"
15,15,Japan,"7,535,033","+47,409","29,201 ",+50,"7,027,666","+42,371","478,166",207,"59,907",232
16,16,Iran,"7,213,808",,"140,919 ",,"6,958,045",,"114,844","1,173","83,952","1,640"
17,17,Colombia,"6,090,520",,"139,759 ",,"5,923,901",,"26,860",342,"117,444","2,695"
18,18,Indonesia,"6,042,595",,"156,015 ",,"5,855,361",,"31,219","2,771","21,679",560
19,19,Poland,"5,988,518",,"115,899 ",,"5,334,233",,"538,386",268,"158,544","3,068"
20,20,Mexico,"5,731,635","+1,075","324,033 ",+29,"5,032,356",+869,"375,246","4,798","43,630","2,467"
21,21,Australia,"5,597,847","+33,976","6,929 ",+37,"5,131,262",,"459,656",136,"215,035",266
22,22,Ukraine,"4,996,411",,"108,296 ",,N/A,N/A,N/A,177,"115,495","2,503"
23,23,Malaysia,"4,415,101",,"35,470 ",,"4,291,447",,"88,184",92,"133,337","1,071"
24,24,Thailand,"4,128,038","+21,808","27,523 ",+128,"3,909,738","+19,826","190,777","1,496","58,875",393
25,25,Austria,"4,084,358",,"17,057 ",,"3,958,362",,"108,939",130,"448,886","1,875"
26,26,Israel,"4,047,693",,"10,658 ",,"4,009,152",,"27,883",220,"434,022","1,143"
27,27,Belgium,"3,972,963",,"31,165 ",,"3,697,780","+7,477","244,018",181,"340,139","2,668"
28,28,Czechia,"3,890,336",,"40,038 ",,"3,825,513",,"24,785",49,"362,069","3,726"
29,29,South Africa,"3,750,830",,"100,276 ",,"3,631,082",,"19,472",175,"61,839","1,653"
30,30,Portugal,"3,719,485",,"21,993 ",,N/A,N/A,N/A,61,"366,697","2,168"
31,31,Canada,"3,684,288",,"38,688 ",,"3,415,904",,"229,696",426,"96,101","1,009"
32,32,Philippines,"3,683,865",,"60,056 ",,"3,607,038",,"16,771",289,"32,831",535
33,33,Switzerland,"3,579,867",,"13,816 ",,"3,336,263","+30,953","229,788",90,"408,263","1,576"
34,34,Peru,"3,558,613",,"212,715 ",,N/A,N/A,N/A,351,"105,290","6,294"
35,35,Chile,"3,538,843",,"57,325 ",,"3,350,639",,"130,879",295,"182,306","2,953"
36,36,Greece,"3,266,368",,"28,808 ",,"3,136,230",,"101,330",284,"316,158","2,788"
37,37,Denmark,"2,956,306",,"6,047 ",,"2,924,297",,"25,962",17,"507,180","1,037"
38,38,Romania,"2,886,284",,"65,403 ",,"2,606,660",,"214,221",229,"151,856","3,441"
39,39,Sweden,"2,498,388",,"18,656 ",,"2,461,823",,"17,909",19,"244,638","1,827"
40,40,Iraq,"2,323,878",,"25,201 ",,"2,295,073",,"3,604",24,"55,534",602
41,41,Serbia,"1,999,753",,"15,945 ",,"1,964,782",,"19,026",26,"230,545","1,838"
42,42,Bangladesh,"1,952,485",,"29,127 ",,"1,892,443",,"30,915","1,283","11,647",174
43,43,Hungary,"1,888,906",,"46,024 ",,"1,770,066",,"72,816",48,"196,429","4,786"
44,44,Slovakia,"1,770,460",,"19,803 ",,"1,721,892",,"28,765",109,"323,999","3,624"
45,45,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,134","1,353"
46,46,Georgia,"1,653,915",,"16,794 ",,"1,634,990",,"2,131",,"416,039","4,224"
47,47,Pakistan,"1,527,669",+80,"30,368 ",,"1,493,933",+63,"3,368",196,"6,682",133
48,48,Ireland,"1,508,373",,"6,993 ",,"1,390,892",,"110,488",37,"299,456","1,388"
49,49,Norway,"1,422,583",,"2,871 ",,N/A,N/A,N/A,20,"258,768",522
50,50,Kazakhstan,"1,305,431",,"13,660 ",,"1,290,945",,826,24,"68,059",712
51,51,Hong Kong,"1,200,334",,"9,212 ",,N/A,N/A,N/A,115,"157,805","1,211"
52,52,Singapore,"1,174,390",,"1,322 ",,"1,102,269",,"70,799",6,"197,937",223
53,53,Morocco,"1,164,567",,"16,064 ",,"1,148,002",,501,293,"30,892",426
54,54,Bulgaria,"1,152,251",,"36,838 ",,"959,289",,"156,124",111,"168,106","5,374"
55,55,Croatia,"1,115,442",,"15,765 ",,"1,095,334",,"4,343",23,"274,759","3,883"
56,56,Cuba,"1,100,938",,"8,522 ",,"1,090,977",,"1,439",23,"97,306",753
57,57,Lebanon,"1,096,099",,"10,370 ",,"1,078,634",,"7,095",186,"161,895","1,532"
58,58,Lithuania,"1,052,417",,"9,042 ",,"1,013,075",,"30,300",41,"396,546","3,407"
59,59,Tunisia,"1,039,532",,"28,533 ",,N/A,N/A,N/A,29,"86,331","2,370"
60,60,Slovenia,"1,001,713",,"6,568 ",,"976,741",,"18,404",29,"481,720","3,159"
61,61,Finland,"1,000,472",,"3,638 ",,"46,000",,"950,834",31,"180,064",655
62,62,Nepal,"978,705",,"11,951 ",,"966,456",,298,,"32,537",397
63,63,Belarus,"976,261",,"6,917 ",,"928,536",,"40,808",,"103,377",732
64,64,Bolivia,"904,212",,"21,906 ",,"854,077",,"28,229",220,"75,606","1,832"
65,65,UAE,"896,372",,"2,302 ",,"878,658",,"15,412",,"88,702",228
