,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,"508,690,171","+180,460","6,240,620",+431,"460,944,770","+105,759","41,504,781","41,603","65,260",800.6,,,
1,1,USA,"82,628,089",,"1,018,154 ",,"80,402,401",,"1,207,534","1,512","247,019","3,044","1,000,126,235","2,989,904","334,501,170 "
2,2,India,"43,054,952",,"522,149 ",,"42,517,724",,"15,079",698,"30,656",372,"834,281,170","594,024","1,404,458,147 "
3,3,Brazil,"30,338,697",,"662,618 ",,"29,353,398",,"322,681","8,318","140,925","3,078","63,776,166","296,244","215,282,819 "
4,4,France,"28,164,406",,"144,945 ",,"25,750,641",,"2,268,820","1,677","429,769","2,212","266,484,045","4,066,358","65,533,845 "
5,5,Germany,"24,019,768",,"134,471 ",,"21,058,000",,"2,827,297","1,980","285,044","1,596","122,332,384","1,451,727","84,266,819 "
6,6,UK,"21,933,206",,"173,352 ",,"20,714,072",,"1,045,782",339,"320,058","2,530","514,985,782","7,514,884","68,528,774 "
7,7,Russia,"18,119,862",,"374,563 ",,"17,451,090",,"294,209","2,300","124,068","2,565","273,400,000","1,871,997","146,047,248 "
8,8,S. Korea,"16,830,469","+75,414","22,024 ",+151,N/A,N/A,N/A,738,"327,768",429,"15,804,065","307,779","51,348,712 "
9,9,Italy,"16,008,181",,"162,466 ",,"14,622,593",,"1,223,122",411,"265,469","2,694","210,944,097","3,498,152","60,301,588 "
10,10,Turkey,"15,013,616",,"98,660 ",,"14,836,951",,"78,005",975,"174,628","1,148","157,973,070","1,837,436","85,974,730 "
11,11,Spain,"11,786,036",,"103,908 ",,"11,261,340",,"420,788",339,"251,906","2,221","471,036,328","10,067,585","46,787,418 "
12,12,Vietnam,"10,544,324",,"42,998 ",,"9,079,265",,"1,422,061",822,"106,598",435,"85,776,230","867,152","98,917,131 "
