,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,2022-04-26,510705428,625251,6248632,2830,464066891,928487,40389905,42301,65519,801.6,6263006785,405187818,7884959285
1,1,China,2022-04-26,205257,1923,4828,52,171703,2323,28726,341,143,3.0,160000000,111163,1439323776
2,2,USA,2022-04-26,82789716,42541,1019008,290,80547402,40542,1223306,1457,247486,3046.0,1002304891,2996227,334522343
3,3,India,2022-04-26,43065666,3569,522374,151,42525563,2252,17729,698,30660,372.0,835974079,595166,1404606308
4,4,Brazil,2022-04-26,30378061,22142,662941,164,29411813,0,303307,8318,141097,3079.0,63776166,296221,215299307
5,5,France,2022-04-26,28415413,97498,145427,170,26245214,161753,2024772,1677,433589,2219.0,266484045,4066260,65535419
6,6,Germany,2022-04-26,24363379,135699,135124,307,21665200,240000,2563055,1980,289112,1603.0,122332384,1451676,84269739
7,7,UK,2022-04-26,21994809,16611,174144,451,21028336,73261,792329,321,320939,2541.0,516236032,7532700,68532664
8,8,Russia,2022-04-26,18151895,7107,375237,176,17495382,11899,281276,2300,124287,2569.0,273400000,1871988,146047929
9,9,S. Korea,2022-04-26,17009865,80301,22325,82,0,0,0,613,331259,435.0,15804065,307776,51349193
10,10,Italy,2022-04-26,16191323,29575,162927,146,14793420,37462,1234976,409,268510,2702.0,212013319,3515939,60300620
11,11,Turkey,2022-04-26,15023662,2511,98720,14,14903420,14425,21522,975,174725,1148.0,158505155,1843412,85984643
12,12,Spain,2022-04-26,11833457,11856,104227,79,11347449,24219,381781,339,252919,2228.0,471036328,10067543,46787616
13,13,Vietnam,2022-04-26,10620203,8431,43029,8,9116225,23465,1460949,620,107354,435.0,85792898,867237,98926693
14,14,Argentina,2022-04-26,9072230,0,128542,0,8895999,0,47689,372,197446,2798.0,35716069,777318,45947798
15,15,Netherlands,2022-04-26,8042469,1896,22234,6,7731657,25013,288578,77,467487,1292.0,21107399,1226916,17203621
16,16,Japan,2022-04-26,7688507,28495,29344,36,7223164,44416,435999,200,61129,233.0,46888808,372801,125774445
17,17,Iran,2022-04-26,7218424,1307,141024,28,6972286,2816,105114,997,83992,1641.0,50914586,592428,85942224
18,18,Colombia,2022-04-26,6091753,202,139783,3,5925390,350,26580,342,117451,2695.0,34407374,663386,51866293
19,19,Indonesia,2022-04-26,6045043,576,156163,30,5879141,4058,9739,2771,21685,560.0,95155820,341344,278768157
20,20,Poland,2022-04-26,5992820,1356,115977,29,5334451,71,542392,1588,158660,3070.0,36049225,954404,37771451
21,21,Australia,2022-04-26,5756477,36350,7069,67,5402976,49943,346432,141,221094,272.0,68924815,2647253,26036353
22,22,Mexico,2022-04-26,5733925,140,324134,5,5034909,482,374882,4798,43641,2467.0,15767876,120009,131389028
23,23,Ukraine,2022-04-26,4999172,655,108343,14,0,0,0,177,115568,2505.0,19521252,451281,43257407
24,24,Malaysia,2022-04-26,4436912,3361,35520,13,4339521,9484,61871,101,133973,1073.0,58469707,1765502,33117890
25,25,Thailand,2022-04-26,4194684,13816,28022,120,3999541,21072,167121,1496,59824,400.0,17270775,246312,70117577
26,26,Austria,2022-04-26,4114558,5588,18076,22,4008005,9227,88477,111,452170,1986.0,182179543,20020647,9099583
27,27,Israel,2022-04-26,4066021,3743,10694,21,4026872,4259,28455,220,435988,1147.0,41373364,4436346,9326000
